"ABLD","Ancillary Building"
"NWST","North West"
"OCRP","Open carport"
"OFCE","Office"
"OHSE","Old House"
"OPSD","Open Shed"
"OUTB","Outbuilding"
"OUTH","Outhouse"
"PAGO","Pagoda"
"PARC","Parcel"
"PARK","Parking"
"PART","Part"
"PAST","Patio and Step"
"PATO","Patio"
"PBAR","Public Area"
"PBAY","Parking Bay"
"PBDR","Public Drain"
"PBOX","Plant Box"
"PDCK","Paddock"
"PDEK","Parking Deck"
"PERD","Period"
"PFRB","Professional Rooms Block"
"PGLA","Pergola"
"PHSE","Pump House"
"PILE","Pile"
"PILL","Pillar"
"PIPE","Pipe"
"PKAL","Parking Allot"
"PKLT","Parking Lot"
"PKSH","Packing Shed"
"PKSI","Parking Site"
"PKSP","Parking Space"
"PLCX","Pool Complex"
"PLHS","Poolhouse"
"PLST","Pool Store"
"PLYH","Playhouse"
"POBD","Pool Building"
"POLE","Pole"
"POOL","Pool"
"PORT","Port"
"POSH","Pool Shed"
"POST","Post"
"POTN","Portion"
"PPAD","Parking Pad"
"PPST","Pumping Station"
"PR","PR"
"PRCH","Porch"
"PRDK","Porch and Deck"
"PRK","Park"
"PRSD","Propagation Shed"
"PSHD","Pump Shed"
"PSTP","Porch and step"
"PSTW","Porch and Stairway"
"PTSD","Poultry Shed"
"PUMP","Pump"
"PURD","Public Road"
"PWAY","Passage Way"
"PWRM","Power Room"
"QURY","Quarry"
"QYRS","Quarry Res"
"RAMP","Ramp"
"RARS","Rly Res"
"RBED","River Bed"
"RBNK","Right Bank"
"RD","RD"
"RDLN","Road Line"
"RDRS","Road Res"
"RDWY","Roadway"
"RLYL","Railway Land"
"ROAD","Legal Road"
"ROMS","Rooms"
"ROOF","Roof"
"ROOM","Room"
"ROW","ROW"
"RPLG","Ramp and Landing"
"RPRM","Rumpus Room"
"RS","Res"
"RSEC","Rural Sec"
"RSL","RSL"
"RSNT","Restaurant"
"RSRD","Resumed Road"
"RSTK","Reserved Track"
"RU","Residential Unit"
"RUN","Run"
"RVRS","River Bank Reserve"
"RVSC","River Sec"
"SA","Serviced Apartment"
"SAGH","Storage and Glasshouse"
"SALL","South Allotment"
"SAUN","Sauna"
"SBAL","Suburban Allot"
"SBBN","Suburban"
"SBDN","Sbdn"
"SBED","Sea Bed"
"SBLK","Selection Block"
"SBLT","Sbrn Lot"
"SBSC","Sbrn Sec"
"SBST","Sub Sec"
"SDHS","Shade House"
"SEAL","South East Allotment"
"SECS","Secs"
"SECT","Sec"
"SEHA","South Eastern Half"
"SEMN","South East Middle Portion"
"SEMO","S Estn Moiety"
"SEMP","South East Middle Part"
"SENA","South Eastern Allotment"
"SEPA","South East Part"
"SEPN","South East Portion"
"SEPO","S Estn Portion"
"SEPT","S Estn Part"
"SESC","South East Section"
"SESE","South Eastern Severance"
"SFMA","Small Farms Allotment"
"SFRM","Staff Room"
"SFVO","Small Farms near Village of"
"SGR","SGR"
"SGRM","Storage Room"
"SGRS","Shingle Reserve"
"SHAL","Southern Half"
"SHDS","Sheds"
"SHED","Shed"
"SHGA","Shed and Garage"
"SHLT","Shelter"
"SHOP","Shop"
"SHOW","Showroom"
"SHRM","Shower Room"
"SHRS","Store House Reserve"
"SHWN","Shown"
"SLOT","Small Lot"
"SMAN","Small Allotments Near"
"SMBD","Stream Bed"
"SMFA","Small Farms"
"SMO","Sthn Moiety"
"SMP","South-middle portion"
"SMPN","South Middle Portion"
"SMPO","South Eastern Middle Portion"
"SMPT","South Middle Part"
"SMST","Sawmill Site"
"SNAL","Southern Allotment"
"SNPO","Southern Middle Portion"
"SOUT","Sleepout"
"SPA","Spa"
"SPAP","Spa Pool"
"SPO","Sthn Portion"
"SPPL","Support Pillar"
"SPPS","Stopped Street"
"SPRD","Stopped Road"
"SPRM","Spa Room"
"SPRT","South Part"
"SPST","Spiral Stairway"
"SPT","Sthn Part"
"SQ","Sq"
"SSEC","Sbdn Sec"
"SSEN","South Section"
"SSEV","Southern Severance"
"STAB","Stairways and Balcony"
"STAR","Storage Area"
"STBL","Stable"
"STBU","Storage Building"
"STBY","Stairway and Lobby"
"STCB","Storage Cupboard"
"STCO","Storage Compartment"
"STCS","Staircase"
"STDO","Studio"
"STEC","Store Cupboard"
"STEP","Step"
"STFN","Stair Foundation"
"STFT","State Forest"
"STGE","Storage"
"STLD","Steps and Landing"
"STLK","Storage Locker"
"STLY","Stairwell and Laundry"
"STOR","Store"
"STPS","Steps"
"STRM","Store Room"
"STRP","Storage Port"
"STRS","Stairs"
"STRT","ST"
"STRU","Structure"
"STSH","Storage Shed"
"STSP","Storage Space"
"STUN","Storage Unit"
"STWL","Stairwell"
"STWY","Stairway"
"SUB","Sub"
"SUBA","Sub - Allotment"
"SUIT","Suite"
"SUND","Sundeck"
"SUNR","Sunroom"
"SUPP","Support"
"SURG","Surgery"
"SVBG","Service Building"
"SVGY","Service Gangway"
"SVST","Service Station"
"SWAL","South West Allotment"
"SWBD","Switch Board"
"SWHA","South Western Half"
"SWMN","South Western Middle Portion"
"SWMO","S Wstn Moiety"
"SWMP","South West Middle Portion"
"SWMT","South West Middle Part"
"SWNA","South Western Allotment"
"SWP","South West Part"
"SWPL","Swimming Pool"
"SWPN","South West Portion"
"SWPO","S Wstn Portion"
"SWPT","S Wstn Part"
"SWSE","South Western Severance"
"SWSN","South West Section"
"SWST","South West"
"SWTN","South Western"
"TANK","Tank"
"TCAR","Triple Carport"
"TCST","Terrace and Steps"
"TGRS","Trig Res"
"THRB","Thermal Bath"
"TKST","Tank Stand"
"TLET","Toilet"
"TLRM","Toolroom"
"TLST","Tool Store"
"TNHS","Townhouse"
"TNLT","Tn Lot"
"TNRS","Tn Res"
"TNSC","Tn Sec"
"TPSC","Tnsp Sec"
"TRCE","TCE"
"TSHD","Toolshed"
"TWRS","Tramway Res"
"UFLT","Upstairs Flat"
"UNGL","Ungranted Land"
"UNIT","Unit"
"UTBD","Utility Building"
"UTIL","Utility"
"UTRM","Utility Room"
"UTSH","Utility Shed"
"UTUS","Utility Units"
"VDAH","Verandah"
"VDST","Verandah and Steps"
"VEST","Vestibule"
"VHA","Vill Homestead Allot"
"VLLA","Villa"
"VLLT","Vill Lot"
"VSEC","Vill Sec"
"WALL","Wall"
"WBNK","West Bank"
"WC","Water Closet"
"WDBX","Woodbox"
"WDSD","Woodshed"
"WHAL","Western Half"
"WHAT","Wash House and Toilet"
"WHSE","Wash House"
"WKOT","Walkout"
"WKRM","Workroom"
"WKSP","Workshop"
"WMO","Wstn Moiety"
"WMPO","Wstn Middle Portion"
"WNAL","Western Allotment"
"WPO","Wstn Portion"
"WPRT","West Part"
"WPST","Wooden Post"
"WPT","Wstn Part"
"WPTN","West Portion"
"WRRS","Water Race Res"
"WRSE","Warehouse"
"WSEC","West Section"
"WSEV","Western Severance"
"WSRR","Workshop/Rumpus Room"
"WSTD","Water Stand"
"WTAN","Water Tank"
"WTNK","Watertank"
"WTRC","Water Race"
"WTST","Watertank and Stand"
"WWAY","Walkway"
"WWEM","Walkway Easement"
"YARD","Yard"
